Region,Year,Attribute,Value
Africa,2011,Adult_mortality,237.6755
European Union,2004,Infant_deaths,6.2
European Union,2004,Under_five_deaths,7.8
European Union,2004,Adult_mortality,194.0975
Central America and Caribbean,2013,Infant_deaths,14.6
Central America and Caribbean,2013,Under_five_deaths,16.9
Central America and Caribbean,2013,Adult_mortality,179.144
Asia,2006,Infant_deaths,25.6
Asia,2006,Under_five_deaths,29
Asia,2006,Adult_mortality,270.9885
Africa,2015,Infant_deaths,57
Africa,2015,Under_five_deaths,88
Africa,2015,Adult_mortality,340.1265
Middle East,2006,Infant_deaths,19.2
Middle East,2006,Under_five_deaths,22.5
Middle East,2006,Adult_mortality,121.011
Africa,2009,Infant_deaths,54
Africa,2009,Under_five_deaths,91.3
Africa,2009,Adult_mortality,551.9115
Asia,2005,Infant_deaths,44.7
Asia,2005,Under_five_deaths,57.5
Asia,2005,Adult_mortality,253.2655
Rest of Europe,2010,Infant_deaths,3.9
Rest of Europe,2010,Under_five_deaths,4.6
Rest of Europe,2010,Adult_mortality,56.9105
Africa,2006,Infant_deaths,48.7
Africa,2006,Under_five_deaths,79.2
Africa,2006,Adult_mortality,515.718
Middle East,2012,Infant_deaths,16.2
Middle East,2012,Under_five_deaths,19
Middle East,2012,Adult_mortality,113.2855
Africa,2012,Infant_deaths,36.8
Africa,2012,Under_five_deaths,51.2
Africa,2012,Adult_mortality,274.029
European Union,2010,Infant_deaths,3.5
European Union,2010,Under_five_deaths,4.2
European Union,2010,Adult_mortality,77.604
Middle East,2014,Infant_deaths,8.3
Middle East,2014,Under_five_deaths,9.6
Middle East,2014,Adult_mortality,89.12
Oceania,2004,Infant_deaths,49.4
Oceania,2004,Under_five_deaths,64.6
Oceania,2004,Adult_mortality,214.7745
Africa,2011,Infant_deaths,12.2
Africa,2011,Under_five_deaths,14.2
Africa,2011,Adult_mortality,154.4505
Africa,2012,Infant_deaths,44.6
Africa,2012,Under_five_deaths,64.8
Africa,2012,Adult_mortality,232.446
Asia,2014,Infant_deaths,2.2
Asia,2014,Under_five_deaths,2.7
Asia,2014,Adult_mortality,52.393
Africa,2008,Infant_deaths,61.4
Africa,2008,Under_five_deaths,94.4
Africa,2008,Adult_mortality,318.7475
European Union,2009,Infant_deaths,3.6
European Union,2009,Under_five_deaths,4.2
European Union,2009,Adult_mortality,85.8135
Africa,2015,Infant_deaths,39.7
Africa,2015,Under_five_deaths,59.8
Africa,2015,Adult_mortality,261.7065
Central America and Caribbean,2014,Infant_deaths,7.9
Central America and Caribbean,2014,Under_five_deaths,9.3
Central America and Caribbean,2014,Adult_mortality,87.237
Central America and Caribbean,2010,Infant_deaths,16.2
Central America and Caribbean,2010,Under_five_deaths,18.9
Central America and Caribbean,2010,Adult_mortality,181.584
European Union,2010,Infant_deaths,2.5
European Union,2010,Under_five_deaths,3.1
European Union,2010,Adult_mortality,57.492
European Union,2014,Infant_deaths,3.1
European Union,2014,Under_five_deaths,3.8
European Union,2014,Adult_mortality,65.815
Asia,2012,Infant_deaths,23.2
Asia,2012,Under_five_deaths,26.1
Asia,2012,Adult_mortality,183.8625
Central America and Caribbean,2013,Infant_deaths,13.8
Central America and Caribbean,2013,Under_five_deaths,15.8
Central America and Caribbean,2013,Adult_mortality,143.8315
Asia,2010,Infant_deaths,7.9
Asia,2010,Under_five_deaths,9.7
Asia,2010,Adult_mortality,91.9455
European Union,2009,Infant_deaths,3.4
European Union,2009,Under_five_deaths,3.9
European Union,2009,Adult_mortality,75.948
Rest of Europe,2010,Infant_deaths,2.7
Rest of Europe,2010,Under_five_deaths,3.3
Rest of Europe,2010,Adult_mortality,64.862
South America,2006,Infant_deaths,11.7
South America,2006,Under_five_deaths,13.5
South America,2006,Adult_mortality,116.762
European Union,2006,Infant_deaths,5.5
European Union,2006,Under_five_deaths,6.4
European Union,2006,Adult_mortality,109.298
European Union,2008,Infant_deaths,11.9
European Union,2008,Under_five_deaths,14
European Union,2008,Adult_mortality,151.8615
Africa,2011,Infant_deaths,96.7
Africa,2011,Under_five_deaths,140.5
Africa,2011,Adult_mortality,463.613
Africa,2015,Infant_deaths,21.6
Africa,2015,Under_five_deaths,25.2
Africa,2015,Adult_mortality,95.8155
Middle East,2011,Infant_deaths,45.3
Middle East,2011,Under_five_deaths,58.5
Middle East,2011,Adult_mortality,231.9445
Rest of Europe,2009,Infant_deaths,17.2
Rest of Europe,2009,Under_five_deaths,19.2
Rest of Europe,2009,Adult_mortality,139.3615
Africa,2004,Infant_deaths,51.2
Africa,2004,Under_five_deaths,92.4
Africa,2004,Adult_mortality,686.639
Central America and Caribbean,2003,Infant_deaths,19
Central America and Caribbean,2003,Under_five_deaths,21.7
Central America and Caribbean,2003,Adult_mortality,179.187
Africa,2007,Infant_deaths,43.7
Africa,2007,Under_five_deaths,68
Africa,2007,Adult_mortality,345.5865
Oceania,2003,Infant_deaths,29
Oceania,2003,Under_five_deaths,35.2
Oceania,2003,Adult_mortality,180.9535
Central America and Caribbean,2004,Infant_deaths,11
Central America and Caribbean,2004,Under_five_deaths,13.5
Central America and Caribbean,2004,Adult_mortality,148.5575
Asia,2007,Infant_deaths,41.9
Asia,2007,Under_five_deaths,53.4
Asia,2007,Adult_mortality,191.5375
European Union,2005,Infant_deaths,7.3
European Union,2005,Under_five_deaths,9
European Union,2005,Adult_mortality,222.069
Oceania,2003,Infant_deaths,23.5
Oceania,2003,Under_five_deaths,28.1
Oceania,2003,Adult_mortality,168.7145
Asia,2000,Infant_deaths,90.5
Asia,2000,Under_five_deaths,129.2
Asia,2000,Adult_mortality,310.8305
Middle East,2011,Infant_deaths,8.5
Middle East,2011,Under_five_deaths,10
Middle East,2011,Adult_mortality,64.969
Africa,2011,Infant_deaths,38.5
Africa,2011,Under_five_deaths,55.5
Africa,2011,Adult_mortality,260.375
European Union,2004,Infant_deaths,4
European Union,2004,Under_five_deaths,4.9
European Union,2004,Adult_mortality,86.3185
South America,2014,Infant_deaths,10.8
South America,2014,Under_five_deaths,12.1
South America,2014,Adult_mortality,118.5375
Central America and Caribbean,2008,Infant_deaths,18
Central America and Caribbean,2008,Under_five_deaths,21.1
Central America and Caribbean,2008,Adult_mortality,124.016
Middle East,2015,Infant_deaths,9.6
Middle East,2015,Under_five_deaths,11.2
Middle East,2015,Adult_mortality,89.1875
European Union,2014,Infant_deaths,3.1
European Union,2014,Under_five_deaths,4.1
European Union,2014,Adult_mortality,74.8905
Rest of Europe,2011,Infant_deaths,6
Rest of Europe,2011,Under_five_deaths,6.9
Rest of Europe,2011,Adult_mortality,101.667
Africa,2002,Infant_deaths,68.6
Africa,2002,Under_five_deaths,111.5
Africa,2002,Adult_mortality,227.5
Africa,2008,Infant_deaths,101.1
Africa,2008,Under_five_deaths,166.5
Africa,2008,Adult_mortality,331.401
Asia,2011,Infant_deaths,30.5
Asia,2011,Under_five_deaths,34.9
Asia,2011,Adult_mortality,134.006
Asia,2007,Infant_deaths,15.1
Asia,2007,Under_five_deaths,17.6
Asia,2007,Adult_mortality,79.101
Rest of Europe,2012,Infant_deaths,14.7
Rest of Europe,2012,Under_five_deaths,16.4
Rest of Europe,2012,Adult_mortality,129.837
Africa,2009,Infant_deaths,48.8
Africa,2009,Under_five_deaths,72.3
Africa,2009,Adult_mortality,261.2595
Africa,2006,Infant_deaths,104
Africa,2006,Under_five_deaths,172
Africa,2006,Adult_mortality,337.337
Rest of Europe,2014,Infant_deaths,3.8
Rest of Europe,2014,Under_five_deaths,4.3
Rest of Europe,2014,Adult_mortality,49.998
South America,2005,Infant_deaths,14.8
South America,2005,Under_five_deaths,16.5
South America,2005,Adult_mortality,131.475
Africa,2010,Infant_deaths,72.6
Africa,2010,Under_five_deaths,114.5
Africa,2010,Adult_mortality,287.62
Oceania,2000,Infant_deaths,25.6
Oceania,2000,Under_five_deaths,30.7
Oceania,2000,Adult_mortality,228.169
Africa,2000,Infant_deaths,106.5
Africa,2000,Under_five_deaths,159.3
Africa,2000,Adult_mortality,344.252
Africa,2010,Infant_deaths,36.8
Africa,2010,Under_five_deaths,49.1
Africa,2010,Adult_mortality,412.4735
Rest of Europe,2004,Infant_deaths,12
Rest of Europe,2004,Under_five_deaths,14.9
Rest of Europe,2004,Adult_mortality,317.967
Asia,2003,Infant_deaths,2.9
Asia,2003,Under_five_deaths,4
Asia,2003,Adult_mortality,70.306
Africa,2004,Infant_deaths,67.8
Africa,2004,Under_five_deaths,109.7
Africa,2004,Adult_mortality,223.7
Africa,2007,Infant_deaths,59.3
Africa,2007,Under_five_deaths,103.8
Africa,2007,Adult_mortality,579.801
Africa,2011,Infant_deaths,83
Africa,2011,Under_five_deaths,133.1
Africa,2011,Adult_mortality,372.383
Middle East,2002,Infant_deaths,9.1
Middle East,2002,Under_five_deaths,10.6
Middle East,2002,Adult_mortality,92.432
Africa,2005,Infant_deaths,78.4
Africa,2005,Under_five_deaths,124.9
Africa,2005,Adult_mortality,346.6695
Asia,2006,Infant_deaths,44.1
Asia,2006,Under_five_deaths,51.9
Asia,2006,Adult_mortality,155.062
Central America and Caribbean,2000,Infant_deaths,30.3
Central America and Caribbean,2000,Under_five_deaths,37
Central America and Caribbean,2000,Adult_mortality,171.706
South America,2008,Infant_deaths,16.7
South America,2008,Under_five_deaths,19.5
South America,2008,Adult_mortality,151.1495
Africa,2009,Infant_deaths,47.1
Africa,2009,Under_five_deaths,76.8
Africa,2009,Adult_mortality,277.4475
Africa,2015,Infant_deaths,41.3
Africa,2015,Under_five_deaths,59
Africa,2015,Adult_mortality,218.4575
Rest of Europe,2003,Infant_deaths,2.8
Rest of Europe,2003,Under_five_deaths,3.5
Rest of Europe,2003,Adult_mortality,58.787
Africa,2002,Infant_deaths,40.6
Africa,2002,Under_five_deaths,48
Africa,2002,Adult_mortality,140.5375
Asia,2011,Infant_deaths,68.6
Asia,2011,Under_five_deaths,85
Asia,2011,Adult_mortality,166.204
South America,2009,Infant_deaths,34.8
South America,2009,Under_five_deaths,44.1
South America,2009,Adult_mortality,204.4305
Asia,2006,Infant_deaths,49.3
Asia,2006,Under_five_deaths,59.7
Asia,2006,Adult_mortality,214.084
Asia,2006,Infant_deaths,7
Asia,2006,Under_five_deaths,8.1
Asia,2006,Adult_mortality,129.376
European Union,2006,Infant_deaths,14.2
European Union,2006,Under_five_deaths,16.6
European Union,2006,Adult_mortality,159.0955
Central America and Caribbean,2008,Infant_deaths,29.1
Central America and Caribbean,2008,Under_five_deaths,35.5
Central America and Caribbean,2008,Adult_mortality,173.0485
Rest of Europe,2015,Infant_deaths,2.2
Rest of Europe,2015,Under_five_deaths,2.7
Rest of Europe,2015,Adult_mortality,53.897
European Union,2005,Infant_deaths,3.8
European Union,2005,Under_five_deaths,4.5
European Union,2005,Adult_mortality,64.2915
Asia,2015,Infant_deaths,17.4
Asia,2015,Under_five_deaths,21.8
Asia,2015,Adult_mortality,124.547
Rest of Europe,2007,Infant_deaths,15.3
Rest of Europe,2007,Under_five_deaths,17.1
Rest of Europe,2007,Adult_mortality,82.6975
Middle East,2013,Infant_deaths,9.7
Middle East,2013,Under_five_deaths,11.3
Middle East,2013,Adult_mortality,92.6785
European Union,2001,Infant_deaths,4.3
European Union,2001,Under_five_deaths,5.2
European Union,2001,Adult_mortality,121.6575
Oceania,2002,Infant_deaths,13.8
Oceania,2002,Under_five_deaths,16
Oceania,2002,Adult_mortality,155.0705
Africa,2001,Infant_deaths,70.7
Africa,2001,Under_five_deaths,111.1
Africa,2001,Adult_mortality,420.18
European Union,2010,Infant_deaths,2.6
European Union,2010,Under_five_deaths,3.2
European Union,2010,Adult_mortality,86.192
Africa,2001,Infant_deaths,52.3
Africa,2001,Under_five_deaths,81.4
Africa,2001,Adult_mortality,321.9725
Africa,2014,Infant_deaths,46
Africa,2014,Under_five_deaths,68.3
Africa,2014,Adult_mortality,309.5495
Africa,2015,Infant_deaths,45.2
Africa,2015,Under_five_deaths,57.2
Africa,2015,Adult_mortality,434.821
Africa,2000,Infant_deaths,75.7
Africa,2000,Under_five_deaths,119.9
Africa,2000,Adult_mortality,331.9545
Central America and Caribbean,2014,Infant_deaths,28.8
Central America and Caribbean,2014,Under_five_deaths,35
Central America and Caribbean,2014,Adult_mortality,163.0145
Africa,2001,Infant_deaths,35.2
Africa,2001,Under_five_deaths,43.9
Africa,2001,Adult_mortality,174.899
Oceania,2014,Infant_deaths,41.2
Oceania,2014,Under_five_deaths,52.4
Oceania,2014,Adult_mortality,227.218
European Union,2000,Infant_deaths,6
European Union,2000,Under_five_deaths,7.1
European Union,2000,Adult_mortality,94.6415
Asia,2010,Infant_deaths,34.1
Asia,2010,Under_five_deaths,42.4
Asia,2010,Adult_mortality,227.3425
Africa,2001,Infant_deaths,72.1
Africa,2001,Under_five_deaths,100.2
Africa,2001,Adult_mortality,270.665
South America,2014,Infant_deaths,6.9
South America,2014,Under_five_deaths,8.1
South America,2014,Adult_mortality,90.433
Middle East,2006,Infant_deaths,16.5
Middle East,2006,Under_five_deaths,19.3
Middle East,2006,Adult_mortality,115.127
Asia,2009,Infant_deaths,40.2
Asia,2009,Under_five_deaths,47.5
Asia,2009,Adult_mortality,198.62
Rest of Europe,2004,Infant_deaths,8.4
Rest of Europe,2004,Under_five_deaths,9.7
Rest of Europe,2004,Adult_mortality,145.094
European Union,2002,Infant_deaths,4.4
European Union,2002,Under_five_deaths,5.4
European Union,2002,Adult_mortality,95.81
Central America and Caribbean,2004,Infant_deaths,18.2
Central America and Caribbean,2004,Under_five_deaths,21.3
Central America and Caribbean,2004,Adult_mortality,190.602
Central America and Caribbean,2000,Infant_deaths,11.1
Central America and Caribbean,2000,Under_five_deaths,13.1
Central America and Caribbean,2000,Adult_mortality,98.9985
European Union,2007,Infant_deaths,13
European Union,2007,Under_five_deaths,15.2
European Union,2007,Adult_mortality,155.9065
Central America and Caribbean,2008,Infant_deaths,5.4
Central America and Caribbean,2008,Under_five_deaths,6.7
Central America and Caribbean,2008,Adult_mortality,96.542
Central America and Caribbean,2014,Infant_deaths,17.1
Central America and Caribbean,2014,Under_five_deaths,20
Central America and Caribbean,2014,Adult_mortality,147.875
Central America and Caribbean,2007,Infant_deaths,21.7
Central America and Caribbean,2007,Under_five_deaths,24.4
Central America and Caribbean,2007,Adult_mortality,184.093
Africa,2004,Infant_deaths,42.1
Africa,2004,Under_five_deaths,72.7
Africa,2004,Adult_mortality,528.2495
Central America and Caribbean,2005,Infant_deaths,18.9
Central America and Caribbean,2005,Under_five_deaths,21.5
Central America and Caribbean,2005,Adult_mortality,173.295
South America,2003,Infant_deaths,47.8
South America,2003,Under_five_deaths,63.3
South America,2003,Adult_mortality,227.5185
South America,2002,Infant_deaths,26.8
South America,2002,Under_five_deaths,32.3
South America,2002,Adult_mortality,166.295
Central America and Caribbean,2014,Infant_deaths,12.2
Central America and Caribbean,2014,Under_five_deaths,14.3
Central America and Caribbean,2014,Adult_mortality,160.15
Central America and Caribbean,2004,Infant_deaths,9.9
Central America and Caribbean,2004,Under_five_deaths,11.5
Central America and Caribbean,2004,Adult_mortality,96.3765
European Union,2001,Infant_deaths,6.6
European Union,2001,Under_five_deaths,7.5
European Union,2001,Adult_mortality,62.98
Africa,2000,Infant_deaths,100.5
Africa,2000,Under_five_deaths,174.6
Africa,2000,Adult_mortality,570.551
European Union,2006,Infant_deaths,3
European Union,2006,Under_five_deaths,3.6
European Union,2006,Adult_mortality,94.799
Rest of Europe,2007,Infant_deaths,7.7
Rest of Europe,2007,Under_five_deaths,8.9
Rest of Europe,2007,Adult_mortality,126.1335
Africa,2004,Infant_deaths,30.6
Africa,2004,Under_five_deaths,37.5
Africa,2004,Adult_mortality,171.3545
Middle East,2010,Infant_deaths,7.4
Middle East,2010,Under_five_deaths,8.7
Middle East,2010,Adult_mortality,74.296
Rest of Europe,2006,Infant_deaths,2.5
Rest of Europe,2006,Under_five_deaths,3.1
Rest of Europe,2006,Adult_mortality,64.745
Asia,2013,Infant_deaths,6.8
Asia,2013,Under_five_deaths,8
Asia,2013,Adult_mortality,124.668
Central America and Caribbean,2002,Infant_deaths,11.9
Central America and Caribbean,2002,Under_five_deaths,14.6
Central America and Caribbean,2002,Adult_mortality,152.267
Africa,2002,Infant_deaths,108.5
Africa,2002,Under_five_deaths,165.8
Africa,2002,Adult_mortality,551.1775
Oceania,2013,Infant_deaths,45.9
Oceania,2013,Under_five_deaths,54.2
Oceania,2013,Adult_mortality,154.7555
Rest of Europe,2010,Infant_deaths,6.6
Rest of Europe,2010,Under_five_deaths,7.6
Rest of Europe,2010,Adult_mortality,127.7695
European Union,2001,Infant_deaths,8.2
European Union,2001,Under_five_deaths,9.6
European Union,2001,Adult_mortality,185.7405
Asia,2005,Infant_deaths,7
Asia,2005,Under_five_deaths,8.2
Asia,2005,Adult_mortality,129.6545
Africa,2015,Infant_deaths,39.6
Africa,2015,Under_five_deaths,49.7
Africa,2015,Adult_mortality,248.595
Africa,2005,Infant_deaths,92.4
Africa,2005,Under_five_deaths,166.9
Africa,2005,Adult_mortality,404.29
Africa,2002,Infant_deaths,84.6
Africa,2002,Under_five_deaths,145.5
Africa,2002,Adult_mortality,591.4675
Africa,2012,Infant_deaths,100.7
Africa,2012,Under_five_deaths,147.3
Africa,2012,Adult_mortality,410.143
Africa,2005,Infant_deaths,88.1
Africa,2005,Under_five_deaths,156.4
Africa,2005,Adult_mortality,302.4025
Asia,2007,Infant_deaths,44.8
Asia,2007,Under_five_deaths,57.8
Asia,2007,Adult_mortality,147.641
European Union,2015,Infant_deaths,4.3
European Union,2015,Under_five_deaths,5
European Union,2015,Adult_mortality,160.237
Africa,2002,Infant_deaths,114.5
Africa,2002,Under_five_deaths,191.5
Africa,2002,Adult_mortality,350.8275
Central America and Caribbean,2003,Infant_deaths,17.6
Central America and Caribbean,2003,Under_five_deaths,20.7
Central America and Caribbean,2003,Adult_mortality,162.465
Africa,2005,Infant_deaths,61.9
Africa,2005,Under_five_deaths,106.2
Africa,2005,Adult_mortality,521.085
Asia,2002,Infant_deaths,38.8
Asia,2002,Under_five_deaths,45.2
Asia,2002,Adult_mortality,223.718
Africa,2000,Infant_deaths,51.9
Africa,2000,Under_five_deaths,95.5
Africa,2000,Adult_mortality,687.993
Asia,2003,Infant_deaths,23.4
Asia,2003,Under_five_deaths,28.8
Asia,2003,Adult_mortality,105.496
Asia,2015,Infant_deaths,29.2
Asia,2015,Under_five_deaths,35.5
Asia,2015,Adult_mortality,154.604
Africa,2004,Infant_deaths,93.9
Africa,2004,Under_five_deaths,170.4
Africa,2004,Adult_mortality,407.207
Asia,2014,Infant_deaths,55.2
Asia,2014,Under_five_deaths,73.6
Asia,2014,Adult_mortality,231.978
Central America and Caribbean,2001,Infant_deaths,6.8
Central America and Caribbean,2001,Under_five_deaths,8.5
Central America and Caribbean,2001,Adult_mortality,109.7575
Africa,2014,Infant_deaths,41.9
Africa,2014,Under_five_deaths,59.9
Africa,2014,Adult_mortality,255.4665
South America,2013,Infant_deaths,14.3
South America,2013,Under_five_deaths,16.6
South America,2013,Adult_mortality,127.577
Africa,2011,Infant_deaths,60.9
Africa,2011,Under_five_deaths,74.4
Africa,2011,Adult_mortality,265.328
European Union,2003,Infant_deaths,3.9
European Union,2003,Under_five_deaths,4.7
European Union,2003,Adult_mortality,117.617
Central America and Caribbean,2004,Infant_deaths,12.5
Central America and Caribbean,2004,Under_five_deaths,14.7
Central America and Caribbean,2004,Adult_mortality,168.877
Africa,2015,Infant_deaths,73
Africa,2015,Under_five_deaths,95.9
Africa,2015,Adult_mortality,260.0235
Central America and Caribbean,2002,Infant_deaths,6.5
Central America and Caribbean,2002,Under_five_deaths,8.2
Central America and Caribbean,2002,Adult_mortality,108.1925
Asia,2013,Infant_deaths,9.7
Asia,2013,Under_five_deaths,11.3
Asia,2013,Adult_mortality,72.3455
Africa,2004,Infant_deaths,87.5
Africa,2004,Under_five_deaths,129.5
Africa,2004,Adult_mortality,453.5475
Africa,2001,Infant_deaths,106.8
Africa,2001,Under_five_deaths,177.3
Africa,2001,Adult_mortality,408.9835
Central America and Caribbean,2008,Infant_deaths,22
Central America and Caribbean,2008,Under_five_deaths,26.1
Central America and Caribbean,2008,Adult_mortality,166.1845
Central America and Caribbean,2006,Infant_deaths,12.5
Central America and Caribbean,2006,Under_five_deaths,14.6
Central America and Caribbean,2006,Adult_mortality,163.5385
Middle East,2007,Infant_deaths,31.1
Middle East,2007,Under_five_deaths,38.1
Middle East,2007,Adult_mortality,187.6105
Asia,2007,Infant_deaths,54.1
Asia,2007,Under_five_deaths,71.8
Asia,2007,Adult_mortality,219.9305
Central America and Caribbean,2007,Infant_deaths,18.5
Central America and Caribbean,2007,Under_five_deaths,21.7
Central America and Caribbean,2007,Adult_mortality,125.1955
Middle East,2011,Infant_deaths,7
Middle East,2011,Under_five_deaths,8.2
Middle East,2011,Adult_mortality,70.3255
Africa,2001,Infant_deaths,78.2
Africa,2001,Under_five_deaths,98.6
Africa,2001,Adult_mortality,321.3015
Asia,2004,Infant_deaths,2.8
Asia,2004,Under_five_deaths,3.9
Asia,2004,Adult_mortality,68.9285
Africa,2004,Infant_deaths,42.7
Africa,2004,Under_five_deaths,74.4
Africa,2004,Adult_mortality,496.836
Africa,2001,Infant_deaths,28.4
Africa,2001,Under_five_deaths,34.4
Africa,2001,Adult_mortality,149.3995
Africa,2003,Infant_deaths,74.7
Africa,2003,Under_five_deaths,123.5
Africa,2003,Adult_mortality,485.3535
Asia,2007,Infant_deaths,23.8
Asia,2007,Under_five_deaths,26.8
Asia,2007,Adult_mortality,267.527
Central America and Caribbean,2012,Infant_deaths,18.1
Central America and Caribbean,2012,Under_five_deaths,20.4
Central America and Caribbean,2012,Adult_mortality,141.425
Africa,2000,Infant_deaths,31.1
Africa,2000,Under_five_deaths,38.1
Africa,2000,Adult_mortality,157.104
European Union,2008,Infant_deaths,3.6
European Union,2008,Under_five_deaths,4.4
European Union,2008,Adult_mortality,79.5175
Rest of Europe,2015,Infant_deaths,3.1
Rest of Europe,2015,Under_five_deaths,4.1
Rest of Europe,2015,Adult_mortality,163.872
Central America and Caribbean,2010,Infant_deaths,19.8
Central America and Caribbean,2010,Under_five_deaths,23.3
Central America and Caribbean,2010,Adult_mortality,153.912
Africa,2005,Infant_deaths,53.2
Africa,2005,Under_five_deaths,91.8
Africa,2005,Adult_mortality,237.7735
Africa,2007,Infant_deaths,74.6
Africa,2007,Under_five_deaths,121
Africa,2007,Adult_mortality,371.415
Asia,2012,Infant_deaths,24.2
Asia,2012,Under_five_deaths,30.9
Asia,2012,Adult_mortality,204.619
Asia,2009,Infant_deaths,12.8
Asia,2009,Under_five_deaths,14.9
Asia,2009,Adult_mortality,77.1955
Central America and Caribbean,2006,Infant_deaths,23.9
Central America and Caribbean,2006,Under_five_deaths,28.5
Central America and Caribbean,2006,Adult_mortality,173.308
Asia,2003,Infant_deaths,38.9
Asia,2003,Under_five_deaths,49.1
Asia,2003,Adult_mortality,260.269
Middle East,2001,Infant_deaths,34.9
Middle East,2001,Under_five_deaths,43.5
Middle East,2001,Adult_mortality,165.8675
Central America and Caribbean,2011,Infant_deaths,57.6
Central America and Caribbean,2011,Under_five_deaths,77.4
Central America and Caribbean,2011,Adult_mortality,257.386
South America,2013,Infant_deaths,8.3
South America,2013,Under_five_deaths,9.7
South America,2013,Adult_mortality,107.92
Asia,2007,Infant_deaths,39.1
Asia,2007,Under_five_deaths,45.5
Asia,2007,Adult_mortality,141.6765
Asia,2002,Infant_deaths,80.9
Asia,2002,Under_five_deaths,102.4
Asia,2002,Adult_mortality,185.0715
Asia,2000,Infant_deaths,3
Asia,2000,Under_five_deaths,3.9
Asia,2000,Adult_mortality,80.151
Africa,2015,Infant_deaths,57.7
Africa,2015,Under_five_deaths,88.1
Africa,2015,Adult_mortality,242.9655
Asia,2004,Infant_deaths,47
Asia,2004,Under_five_deaths,55.6
Asia,2004,Adult_mortality,155.0385
Oceania,2014,Infant_deaths,19.9
Oceania,2014,Under_five_deaths,23.4
Oceania,2014,Adult_mortality,151.628
Rest of Europe,2015,Infant_deaths,8.1
Rest of Europe,2015,Under_five_deaths,9.5
Rest of Europe,2015,Adult_mortality,202.8
Africa,2006,Infant_deaths,50.6
Africa,2006,Under_five_deaths,85.2
Africa,2006,Adult_mortality,233.387
Asia,2012,Infant_deaths,31
Asia,2012,Under_five_deaths,38
Asia,2012,Adult_mortality,220.149
Asia,2012,Infant_deaths,28.5
Asia,2012,Under_five_deaths,32.5
Asia,2012,Adult_mortality,132.0885
Rest of Europe,2003,Infant_deaths,9.1
Rest of Europe,2003,Under_five_deaths,10.5
Rest of Europe,2003,Adult_mortality,147.6935
Africa,2009,Infant_deaths,64.8
Africa,2009,Under_five_deaths,130.3
Africa,2009,Adult_mortality,270.291
Central America and Caribbean,2010,Infant_deaths,102.6
